Site,Point Number,Zone,Lattitude,Longitude,Date Set,Date Pulled,TN,Set Type,Ult Mic AZ,Distance to Clutter,Cam Set,Detection Radius,Camera Lens AZ,Right Bearing,Left Bearing ,Detection Angle ,Green BA,Red BA,Grey BA,Shrub Cover,Total VO,Total Canopy Cover ,Majority Species
MU-069,069,MU,41.09507,-106.21901,2024-07-08,2024-07-31,22.84297454,Both,246,2,Tree,6.5,53,74,29,45,0,0,6,30,,,
MU-096,096,MU,41.14313,-106.20183,2024-07-10,2024-07-30,20.21909722,Cam Only,,,Tree,17.4,288,306,265,41,0,0,8,4,,,
MU-099,099,MU,41.10802,-106.15449,2024-07-09,2024-07-30,21.11144676,Both,193,1,Tree,9.3,300,320,280,40,0,0,5,0,,,
MU-104,104,MU,41.225,-106.32613,2024-06-18,2024-06-27,8.114502315,Both,18,2,Tree,7.7,174,148,210,62,0,0,9,1,,,
MU-105,105,MU,41.23103,-106.3423,2024-06-18,2024-06-27,8.795821759,Cam Only,,,Tree,7.7,174,148,210,62,0,0,6,1,,,
MU-110,110,MU,41.12435,-106.14477,2024-07-31,2024-08-19,19.23592593,Both,343,4,Tree,10.6,227,255,204,51,0,0,1,1,,,
MU-111,111,MU,41.10992,-106.13062,2024-06-05,2024-06-17,11.94980324,Both,152,,Tree,4.2,1,382,356,26,0,0,6,3,,,
MU-12,12,MU,40.98982,-106.27005,2024-06-05,2024-06-17,12,Both,160,,Tree,5,0,362,341,21,0,0,8,10,,,
MU-122,122,MU,41.25299,-106.3146,2024-06-18,2024-07-09,21,Both,298,1,Tree,7.7,174,148,210,62,0,0,11,1,,,
MU-128,128,MU,41.16423,-106.1324,2024-06-05,2024-06-17,12,Both,216,,Tree,8,7,389,345,44,0,0,17,30,,,
MU-16,16,MU,40.99799,-106.26522,2024-05-28,2024-06-17,20,Both,17,,Tree,6.25,3,382,338,44,0,0,4,1,,,
MU-52,52,MU,41.09219,-106.2548,2024-06-18,2024-07-01,13,Both,39,1,Tree,7.7,174,148,210,62,0,0,8,20,,,
MU-82,82,MU,41.08927,-106.17567,2024-05-28,2024-06-05,8.115127315,Both,102,,Tree,11.5,47,74,19,55,0,0,9,15,,,
Sf-102,102,Sf,40.53227,-105.95099,2024-07-24,2024-08-13,20,Both,355,0.5,Tree,7.5,74,73,63,10,8,0,0,5,,,
Sf-151,151,Sf,40.54405,-105.93614,2024-07-24,2024-08-13,20,Both,251,0.25,Tree,9.4,224,207,149,58,12,0,0,2,,,
Sf-43,43,Sf,40.54015,-104.954,2024-07-24,2024-08-13,20.06471065,Both,321,0.25,Tree,10,6,385,352,33,7,0,0,5,,,
Sf-61,61,Sf,40.53787,-105.94934,2024-06-30,2024-07-22,22.74454861,Both,206,2,Tree,6.5,338,318,280,38,8,0,0,10,,,
MU-098,098,MU,41.19889,-106.28244,2024-07-30,2024-08-19,20.13118056,Both,227,0.5,Tree,10.1,98,136,80,56,11,0,0,1,,,
